FolderServerRelativeURL,Users,Permission
/sites/UX-Portal/Computing/Quality/Course Reviews,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Quality/EV Reports,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Quality/Position Papers,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Quality/SAR & QIP,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/School Information/Development Plan,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/School Information/Health & Safety,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/School Information/Organisational Chart,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/School Information/Planning Calendar,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/School Information/School Meetings,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/School Information/Staff Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/School Information/Teaching & Learning Hour,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Working Folder,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Applications/Entry Test Materials,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Applications/Fact Sheets,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Applications/Marketing ,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Applications/Taster Day Materials,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Impact/Destinations,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Impact/Results,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Impact/Student Voice,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Impact/Value Added & Progress,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Enrichment Inc Trips/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/Exams & AO Info/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/IV,HCUC Security - All Staff Users,Edit
