FolderServerRelativeURL,Users,Permission
/sites/HA-Portal/Foundation Learning  Art/Quality/SAR & QIP                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Quality/Position Papers                     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Quality/EV Reports                          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Quality/Course Reviews                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/School Information/Health & Safety          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/School Information/Development Plan         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/School Information/Teaching & Learning Hour ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/School Information/Organisational Chart     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/School Information/School Meetings          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/School Information/Staff Induction          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/School Information/Planning Calendar        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Working Folder                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Assignment Briefs            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Awarding Body Documentation  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Communication With Parents   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Directed Learning            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Employer Engagement          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Enrichment                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/IV                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Learning Support             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Sample Lesson Plans          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Sample Marked Work           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Schemes Of Work              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Student Induction            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Implementation/Unit - Assessment Plans      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Applications/Fact Sheets                            ,HCUC Security - All Staff Users,Edit
